Icon Type,OPS Icon Class,In Our FA?,Replacement Icon Name,Replacement Link,Notes
OPS FA,fa-gear,No,(Custom SVG Extracted),extracted-svgs/ops-fa-gear-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-gears,No,(Custom SVG Extracted),extracted-svgs/ops-fa-gears-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-globe,No,(Custom SVG Extracted),extracted-svgs/ops-fa-globe-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-handshake,No,(Custom SVG Extracted),extracted-svgs/ops-fa-handshake-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-home,No,(Custom SVG Extracted),extracted-svgs/ops-fa-home-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-house,No,(Custom SVG Extracted),extracted-svgs/ops-fa-house-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-key,No,(Custom SVG Extracted),extracted-svgs/ops-fa-key-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-lightbulb,No,(Custom SVG Extracted),extracted-svgs/ops-fa-lightbulb-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-location-dot,No,(Custom SVG Extracted),extracted-svgs/ops-fa-location-dot-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-magnifying-glass,No,(Custom SVG Extracted),extracted-svgs/ops-fa-magnifying-glass-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-pen-to-square,No,(Custom SVG Extracted),extracted-svgs/ops-fa-pen-to-square-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-pencil,No,(Custom SVG Extracted),extracted-svgs/ops-fa-pencil-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-pencil-alt,No,(Custom SVG Extracted),extracted-svgs/ops-fa-pencil-alt-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-phone,No,(Custom SVG Extracted),extracted-svgs/ops-fa-phone-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-plus-circle,No,(Custom SVG Extracted),extracted-svgs/ops-fa-plus-circle-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-power-off,No,(Custom SVG Extracted),extracted-svgs/ops-fa-power-off-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-print,No,(Custom SVG Extracted),extracted-svgs/ops-fa-print-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-question,No,(Custom SVG Extracted),extracted-svgs/ops-fa-question-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
